Symbol,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,2021/7/22,179.361496,182.001007,179.113495,181.901505,181.901505,65308000
AMZN,2021/7/23,182,183.305496,181.102005,182.832001,182.832001,48726000
AMZN,2021/7/26,183.658493,185.604004,182.362503,184.990997,184.990997,58002000
AMZN,2021/7/27,184.925003,184.925003,179.307495,181.319504,181.319504,82638000
AMZN,2021/7/28,181.688995,182.921005,180.050003,181.516006,181.516006,59988000
AMZN,2021/7/29,181.387497,181.897507,179.000504,179.996002,179.996002,110400000
AMZN,2021/7/30,167.397507,168.406998,165.348999,166.379501,166.379501,199312000
AAPL,2021/7/22,145.940002,148.199997,145.809998,146.800003,145.966064,77338200
AAPL,2021/7/23,147.550003,148.720001,146.919998,148.559998,147.716049,71447400
AAPL,2021/7/26,148.270004,149.830002,147.699997,148.990005,148.143631,72434100
AAPL,2021/7/27,149.119995,149.210007,145.550003,146.770004,145.936249,104818600
AAPL,2021/7/28,144.809998,146.970001,142.539993,144.979996,144.156403,118931200
AAPL,2021/7/29,144.690002,146.550003,144.580002,145.639999,144.812653,56699500
AAPL,2021/7/30,144.380005,146.330002,144.110001,145.860001,145.031418,70440600
GOOG,2021/7/22,132.649994,133.504501,132.399994,133.328506,133.328506,13608000
GOOG,2021/7/23,135.259995,138.808502,134.7005,137.815994,137.815994,26378000
GOOG,2021/7/26,138.25,139.712997,137.651001,139.644501,139.644501,23052000
GOOG,2021/7/27,140.011002,140.011002,135.100006,136.796494,136.796494,42164000
GOOG,2021/7/28,138.561996,139.675995,136.350006,136.3815,136.3815,54688000
GOOG,2021/7/29,136.3806,137.151505,136.138,136.540497,136.540497,19284000
GOOG,2021/7/30,135.511002,135.771347,134.814194,135.220993,135.220993,23954000
TSLA,2021/7/22,656.440002,662.169983,644.599976,649.26001,649.26001,15105700
TSLA,2021/7/23,646.359985,648.799988,637.299988,643.380005,643.380005,14604900
TSLA,2021/7/26,650.969971,668.200012,647.109985,657.619995,657.619995,25336600
TSLA,2021/7/27,663.400024,666.5,627.23999,644.780029,644.780029,32813300
TSLA,2021/7/28,647,654.969971,639.400024,646.97998,646.97998,16006600
TSLA,2021/7/29,649.789978,683.690002,648.799988,677.349976,677.349976,30394600
TSLA,2021/7/30,671.76001,697.530029,669,687.200012,687.200012,29656400
